EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Date,Team Division,Opponent Division,Divisional Matchup?,Away Team
1.13,0.68,0.019,NO,MIN,4.5,2010,1,NFC South,NFC North,0,0
1.12,0.7170000000000001,0.107,CHI,DET,1.0,2010,1,NFC North,NFC North,1,0
1.12,0.7170000000000001,0.105,NYG,CAR,3.0,2010,1,NFC East,NFC South,0,0
1.1,0.665,0.013000000000000001,NE,CIN,3.5,2010,1,AFC East,AFC North,0,0
1.04,0.631,0.016,DAL,WAS,2.5,2010,1,NFC East,NFC East,1,1
1.0,0.6,0.011000000000000001,TB,CLE,1.0,2010,1,NFC South,AFC North,0,0
0.99,0.6,0.017,GB,PHI,4.0,2010,1,NFC North,NFC East,0,1
0.96,0.6,0.05,SF,SEA,2.0,2010,1,NFC West,NFC West,1,1
0.94,0.564,0.004,JAX,DEN,0.5,2010,1,AFC South,AFC West,0,0
0.94,0.6,0.081,MIA,BUF,1.0,2010,1,AFC East,AFC East,1,1
0.93,0.564,0.017,IND,HOU,3.5,2010,1,AFC South,AFC South,1,1
0.92,0.5529999999999999,0.006,ATL,PIT,3.0,2010,1,NFC South,AFC North,0,1
0.91,0.542,0.002,NYJ,BAL,2.5,2010,1,AFC East,AFC North,0,0
0.77,0.45799999999999996,0.002,BAL,NYJ,4.0,2010,1,AFC North,AFC East,0,1
0.75,0.447,0.002,PIT,ATL,3.5,2010,1,AFC North,NFC South,0,0
0.74,0.436,0.0,HOU,IND,1.5,2010,1,AFC South,AFC South,1,0
0.73,0.4,0.001,BUF,MIA,0.0,2010,1,AFC East,AFC East,1,0
0.73,0.436,0.003,DEN,JAX,1.0,2010,1,AFC West,AFC South,0,1
0.71,0.4,0.001,SEA,SF,0.5,2010,1,NFC West,NFC West,1,0
0.68,0.4,0.0,PHI,GB,3.0,2010,1,NFC East,NFC North,0,0
0.67,0.4,0.006999999999999999,CLE,TB,0.5,2010,1,AFC North,NFC South,0,1
0.63,0.369,0.001,WAS,DAL,0.5,2010,1,NFC East,NFC East,1,0
0.57,0.335,0.001,CIN,NE,1.0,2010,1,AFC North,AFC East,0,1
0.55,0.28300000000000003,0.0,CAR,NYG,0.5,2010,1,NFC South,NFC East,0,1
0.55,0.28300000000000003,0.002,DET,CHI,0.5,2010,1,NFC North,NFC North,1,1
0.55,0.32,0.002,MIN,NO,1.5,2010,1,NFC North,NFC South,0,1
1.1,0.741,0.07200000000000001,DAL,CHI,2.0,2010,2,NFC East,NFC North,0,0
1.09,0.741,0.085,PHI,DET,2.5,2010,2,NFC East,NFC North,0,1
1.07,0.7170000000000001,0.053,ATL,ARI,3.0,2010,2,NFC South,NFC West,0,0
1.05,0.693,0.027000000000000003,MIN,MIA,1.5,2010,2,NFC North,AFC East,0,0
1.05,0.68,0.006,TEN,PIT,1.5,2010,2,AFC South,AFC North,0,0
1.03,0.665,0.006,IND,NYG,3.5,2010,2,AFC South,NFC East,0,0
1.02,0.68,0.05,NO,SF,4.5,2010,2,NFC South,NFC West,0,1
0.99,0.847,0.573,GB,BUF,3.5,2010,2,NFC North,AFC East,0,0
0.98,0.631,0.004,DEN,SEA,1.0,2010,2,AFC West,NFC West,0,0
0.95,0.6,0.001,CLE,KC,0.5,2010,2,AFC North,AFC West,0,0
0.93,0.6,0.006999999999999999,NE,NYJ,3.5,2010,2,AFC East,AFC East,1,1
0.92,0.6,0.013000000000000001,CAR,TB,0.0,2010,2,NFC South,NFC South,1,0
0.87,0.564,0.006,BAL,CIN,4.0,2010,2,AFC North,AFC North,1,1
0.86,0.564,0.013000000000000001,HOU,WAS,1.5,2010,2,AFC South,NFC East,0,1
0.69,0.436,0.001,WAS,HOU,0.5,2010,2,NFC East,AFC South,0,0
0.68,0.436,0.001,CIN,BAL,1.0,2010,2,AFC North,AFC North,1,0
0.63,0.4,0.001,TB,CAR,1.0,2010,2,NFC South,NFC South,1,1
0.63,0.4,0.0,NYJ,NE,3.0,2010,2,AFC East,AFC East,1,0
0.6,0.4,0.022000000000000002,KC,CLE,2.5,2010,2,AFC West,AFC North,0,1
0.57,0.369,0.002,SEA,DEN,0.5,2010,2,NFC West,AFC West,0,1
0.56,0.153,0.0,BUF,GB,0.0,2010,2,AFC East,NFC North,0,1
0.54,0.32,0.0,SF,NO,2.5,2010,2,NFC West,NFC South,0,0
0.52,0.335,0.0,NYG,IND,3.5,2010,2,NFC East,AFC South,0,1
0.5,0.32,0.0,PIT,TEN,4.0,2010,2,AFC North,AFC South,0,1
0.5,0.307,0.0,MIA,MIN,1.0,2010,2,AFC East,NFC North,0,1
0.48,0.28300000000000003,0.001,ARI,ATL,1.0,2010,2,NFC West,NFC South,0,1
0.46,0.259,0.001,DET,PHI,0.5,2010,2,NFC North,NFC East,0,0
0.45,0.259,0.0,CHI,DAL,1.5,2010,2,NFC North,NFC East,0,1
1.15,0.8420000000000001,0.079,MIN,DET,1.0,2010,3,NFC North,NFC North,1,0
1.05,0.8320000000000001,0.233,BAL,CLE,3.5,2010,3,AFC North,AFC North,1,0
1.0,0.872,0.529,NE,BUF,3.0,2010,3,AFC East,AFC East,1,0
0.97,0.693,0.009000000000000001,IND,DEN,3.5,2010,3,AFC South,AFC West,0,1
0.86,0.608,0.005,NO,ATL,4.5,2010,3,NFC South,NFC South,1,0
0.85,0.6,0.002,NYG,TEN,3.5,2010,3,NFC East,AFC South,0,0
0.84,0.608,0.023,CIN,CAR,1.0,2010,3,AFC North,NFC South,0,1
0.82,0.583,0.004,GB,CHI,3.5,2010,3,NFC North,NFC North,1,1
0.81,0.578,0.006,SF,KC,2.0,2010,3,NFC West,AFC West,0,1
0.81,0.578,0.006,PIT,TB,4.0,2010,3,AFC North,NFC South,0,1
0.79,0.564,0.004,HOU,DAL,1.5,2010,3,AFC South,NFC East,0,0
0.79,0.564,0.006,PHI,JAX,2.5,2010,3,NFC East,AFC South,0,1
0.78,0.552,0.001,MIA,NYJ,1.0,2010,3,AFC East,AFC East,1,0
0.63,0.44799999999999995,0.001,NYJ,MIA,3.0,2010,3,AFC East,AFC East,1,1
0.62,0.436,0.0,JAX,PHI,1.0,2010,3,AFC South,NFC East,0,0
0.62,0.436,0.001,DAL,HOU,2.5,2010,3,NFC East,AFC South,0,1
0.6,0.42200000000000004,0.001,TB,PIT,1.0,2010,3,NFC South,AFC North,0,0
0.6,0.42200000000000004,0.003,KC,SF,2.5,2010,3,AFC West,NFC West,0,0
0.59,0.41700000000000004,0.001,CHI,GB,1.5,2010,3,NFC North,NFC North,1,0
0.57,0.392,0.0,CAR,CIN,0.0,2010,3,NFC South,AFC North,0,0
0.57,0.4,0.0,TEN,NYG,1.5,2010,3,AFC South,NFC East,0,1
0.56,0.392,0.0,ATL,NO,3.5,2010,3,NFC South,NFC South,1,1
0.44,0.307,0.0,DEN,IND,1.0,2010,3,AFC West,AFC South,0,0
0.42,0.128,0.0,BUF,NE,0.0,2010,3,AFC East,AFC East,1,1
0.36,0.168,0.0,CLE,BAL,0.5,2010,3,AFC North,AFC North,1,1
0.26,0.158,0.001,DET,MIN,0.5,2010,3,NFC North,NFC North,1,1
1.19,0.879,0.11699999999999999,GB,DET,3.0,2010,4,NFC North,NFC North,1,0
1.0,0.853,0.46,NO,CAR,4.5,2010,4,NFC South,NFC South,1,0
0.99,0.738,0.068,IND,JAX,3.5,2010,4,AFC South,AFC South,1,1
0.99,0.718,0.01,TEN,DEN,1.0,2010,4,AFC South,AFC West,0,0
0.96,0.7190000000000001,0.076,ATL,SF,3.0,2010,4,NFC South,NFC West,0,0
0.94,0.679,0.012,PHI,WAS,2.5,2010,4,NFC East,NFC East,1,0
0.92,0.693,0.092,NYJ,BUF,3.0,2010,4,AFC East,AFC East,1,1
0.89,0.64,0.001,NYG,CHI,3.5,2010,4,NFC East,NFC North,0,0
0.79,0.5660000000000001,0.002,PIT,BAL,4.5,2010,4,AFC North,AFC North,1,0
0.77,0.568,0.027000000000000003,CIN,CLE,1.0,2010,4,AFC North,AFC North,1,1
0.71,0.507,0.001,MIA,NE,1.0,2010,4,AFC East,AFC East,1,0
0.69,0.493,0.002,NE,MIA,3.5,2010,4,AFC East,AFC East,1,1
0.62,0.43200000000000005,0.0,CLE,CIN,0.5,2010,4,AFC North,AFC North,1,0
0.6,0.434,0.001,BAL,PIT,4.0,2010,4,AFC North,AFC North,1,1
0.5,0.36,0.002,CHI,NYG,1.5,2010,4,NFC North,NFC East,0,1
0.47,0.307,0.0,BUF,NYJ,0.0,2010,4,AFC East,AFC East,1,0
0.45,0.321,0.0,WAS,PHI,0.0,2010,4,NFC East,NFC East,1,0
0.43,0.281,0.0,SF,ATL,2.5,2010,4,NFC West,NFC South,0,1
0.4,0.282,0.0,DEN,TEN,1.0,2010,4,AFC West,AFC South,0,1
0.4,0.262,0.0,JAX,IND,1.0,2010,4,AFC South,AFC South,1,0
0.39,0.147,0.0,CAR,NO,0.5,2010,4,NFC South,NFC South,1,1
0.2,0.121,0.0,DET,GB,0.5,2010,4,NFC North,NFC North,1,1
1.12,0.732,0.027000000000000003,DAL,TEN,2.5,2010,5,NFC East,AFC South,0,0
1.12,0.7490000000000001,0.085,BAL,DEN,4.0,2010,5,AFC North,AFC West,0,0
1.09,0.732,0.091,NO,ARI,4.5,2010,5,NFC South,NFC West,0,1
1.08,0.741,0.12,CIN,TB,0.5,2010,5,AFC North,NFC South,0,0
1.03,0.662,0.01,NYJ,MIN,3.0,2010,5,AFC East,NFC North,0,0
1.0,0.752,0.284,IND,KC,3.0,2010,5,AFC South,AFC West,0,0
0.98,0.627,0.006,SF,PHI,2.5,2010,5,NFC West,NFC East,0,0
0.93,0.6,0.009000000000000001,HOU,NYG,1.0,2010,5,AFC South,NFC East,0,0
0.89,0.564,0.001,CAR,CHI,0.0,2010,5,NFC South,NFC North,0,0
0.88,0.564,0.004,GB,WAS,3.5,2010,5,NFC North,NFC East,0,1
0.86,0.5379999999999999,0.001,BUF,JAX,0.0,2010,5,AFC East,AFC South,0,0
0.86,0.598,0.109,ATL,CLE,3.5,2010,5,NFC South,AFC North,0,1
0.7,0.402,0.0,CLE,ATL,0.5,2010,5,AFC North,NFC South,0,0
0.7,0.462,0.033,JAX,BUF,1.0,2010,5,AFC South,AFC East,0,1
0.68,0.436,0.0,WAS,GB,0.0,2010,5,NFC East,NFC North,0,0
0.67,0.436,0.018000000000000002,CHI,CAR,1.5,2010,5,NFC North,NFC South,0,1
0.63,0.4,0.0,NYG,HOU,4.0,2010,5,NFC East,AFC South,0,1
0.58,0.373,0.004,PHI,SF,3.0,2010,5,NFC East,NFC West,0,1
0.56,0.248,0.001,KC,IND,3.0,2010,5,AFC West,AFC South,0,1
0.53,0.33799999999999997,0.001,MIN,NYJ,1.0,2010,5,NFC North,AFC East,0,1
0.48,0.259,0.0,TB,CIN,1.5,2010,5,NFC South,AFC North,0,1
0.47,0.268,0.0,ARI,NO,0.5,2010,5,NFC West,NFC South,0,0
0.44,0.251,0.0,DEN,BAL,1.0,2010,5,AFC West,AFC North,0,1
0.43,0.268,0.0,TEN,DAL,1.0,2010,5,AFC South,NFC East,0,1
1.13,0.82,0.19699999999999998,NYG,DET,3.5,2010,6,NFC East,NFC North,0,0
1.06,0.6609999999999999,0.005,NO,TB,4.5,2010,6,NFC South,NFC South,1,1
1.05,0.6509999999999999,0.005,HOU,KC,1.0,2010,6,AFC South,AFC West,0,0
1.05,0.693,0.055,CHI,SEA,1.5,2010,6,NFC North,NFC West,0,0
1.01,0.627,0.006999999999999999,NYJ,DEN,3.0,2010,6,AFC East,AFC West,0,1
0.99,0.608,0.002,GB,MIA,3.5,2010,6,NFC North,AFC East,0,0
0.97,0.6,0.005,IND,WAS,3.0,2010,6,AFC South,NFC East,0,1
0.95,0.865,0.6609999999999999,PIT,CLE,4.5,2010,6,AFC North,AFC North,1,0
0.92,0.5720000000000001,0.005,TEN,JAX,1.0,2010,6,AFC South,AFC South,1,1
0.9,0.552,0.001,NE,BAL,4.5,2010,6,AFC East,AFC North,0,0
0.88,0.542,0.001,PHI,ATL,3.5,2010,6,NFC East,NFC South,0,0
0.87,0.5379999999999999,0.002,MIN,DAL,1.0,2010,6,NFC North,NFC East,0,0
0.75,0.462,0.001,DAL,MIN,2.5,2010,6,NFC East,NFC North,0,1
0.74,0.45799999999999996,0.002,ATL,PHI,4.0,2010,6,NFC South,NFC East,0,1
0.73,0.44799999999999995,0.001,BAL,NE,4.5,2010,6,AFC North,AFC East,0,1
0.7,0.428,0.0,JAX,TEN,1.0,2010,6,AFC South,AFC South,1,0
0.67,0.135,0.0,CLE,PIT,1.0,2010,6,AFC North,AFC North,1,1
0.66,0.4,0.0,WAS,IND,0.0,2010,6,NFC East,AFC South,0,0
0.64,0.392,0.001,MIA,GB,1.5,2010,6,AFC East,NFC North,0,1
0.62,0.373,0.0,DEN,NYJ,1.0,2010,6,AFC West,AFC East,0,0
0.58,0.307,0.0,SEA,CHI,1.0,2010,6,NFC West,NFC North,0,1
0.57,0.349,0.001,KC,HOU,3.5,2010,6,AFC West,AFC South,0,1
0.56,0.33899999999999997,0.0,TB,NO,2.0,2010,6,NFC South,NFC South,1,0
0.5,0.18,0.0,DET,NYG,0.5,2010,6,NFC North,NFC East,0,1
1.12,0.8420000000000001,0.17600000000000002,NO,CLE,4.0,2010,7,NFC South,AFC North,0,0
1.1,0.7879999999999999,0.069,KC,JAX,3.0,2010,7,AFC West,AFC South,0,0
1.01,0.7120000000000001,0.028999999999999998,SEA,ARI,0.5,2010,7,NFC West,NFC West,1,0
0.98,0.8540000000000001,0.521,BAL,BUF,3.5,2010,7,AFC North,AFC East,0,0
0.91,0.631,0.003,DAL,NYG,2.5,2010,7,NFC East,NFC East,1,0
0.88,0.625,0.031,ATL,CIN,3.5,2010,7,NFC South,AFC North,0,0
0.87,0.6,0.001,GB,MIN,3.5,2010,7,NFC North,NFC North,1,0
0.86,0.6,0.008,PIT,MIA,4.5,2010,7,AFC North,AFC East,0,1
0.86,0.597,0.002,CHI,WAS,1.0,2010,7,NFC North,NFC East,0,0
0.86,0.6,0.015,SF,CAR,2.0,2010,7,NFC West,NFC South,0,1
0.82,0.57,0.001,TEN,PHI,1.0,2010,7,AFC South,NFC East,0,0
0.62,0.43,0.001,PHI,TEN,3.5,2010,7,NFC East,AFC South,0,1
0.59,0.4,0.001,CAR,SF,0.0,2010,7,NFC South,NFC West,0,0
0.58,0.40299999999999997,0.001,WAS,CHI,0.0,2010,7,NFC East,NFC North,0,0
0.58,0.4,0.0,MIA,PIT,1.5,2010,7,AFC East,AFC North,0,0
0.58,0.4,0.001,MIN,GB,1.5,2010,7,NFC North,NFC North,1,1
0.56,0.375,0.0,CIN,ATL,0.5,2010,7,AFC North,NFC South,0,1
0.53,0.369,0.004,NYG,DAL,3.5,2010,7,NFC East,NFC East,1,1
0.46,0.146,0.0,BUF,BAL,0.0,2010,7,AFC East,AFC North,0,1
0.43,0.28800000000000003,0.0,ARI,SEA,0.5,2010,7,NFC West,NFC West,1,1
0.34,0.212,0.0,JAX,KC,1.0,2010,7,AFC South,AFC West,0,1
0.32,0.158,0.0,CLE,NO,1.0,2010,7,AFC North,NFC South,0,1
1.34,0.6890000000000001,0.036000000000000004,IND,HOU,3.0,2010,8,AFC South,AFC South,1,0
1.31,0.7140000000000001,0.085,DAL,JAX,2.0,2010,8,NFC East,AFC South,0,0
1.3,0.693,0.064,NYJ,GB,3.0,2010,8,AFC East,NFC North,0,0
1.28,0.68,0.057999999999999996,NE,MIN,4.5,2010,8,AFC East,NFC North,0,0
1.26,0.62,0.003,ARI,TB,0.5,2010,8,NFC West,NFC South,0,0
1.26,0.59,0.003,DET,WAS,0.5,2010,8,NFC North,NFC East,0,0
1.22,0.6,0.001,SF,DEN,2.0,2010,8,NFC West,AFC West,0,0
1.12,0.259,0.001,BUF,KC,0.0,2010,8,AFC East,AFC West,0,1
1.07,0.524,0.002,CIN,MIA,0.5,2010,8,AFC North,AFC East,0,0
1.07,0.526,0.0,NO,PIT,4.0,2010,8,NFC South,AFC North,0,0
0.95,0.474,0.005,PIT,NO,5.0,2010,8,AFC North,NFC South,0,1
0.95,0.47600000000000003,0.01,MIA,CIN,1.5,2010,8,AFC East,AFC North,0,1
0.9,0.741,0.573,KC,BUF,2.5,2010,8,AFC West,AFC East,0,0
0.8,0.4,0.006999999999999999,DEN,SF,0.5,2010,8,AFC West,NFC West,0,1
0.76,0.41,0.043,WAS,DET,0.0,2010,8,NFC East,NFC North,0,0
0.76,0.38,0.006,TB,ARI,1.5,2010,8,NFC South,NFC West,0,1
0.74,0.32,0.0,MIN,NE,1.5,2010,8,NFC North,AFC East,0,1
0.72,0.307,0.0,GB,NYJ,4.0,2010,8,NFC North,AFC East,0,1
0.71,0.28600000000000003,0.002,JAX,DAL,1.5,2010,8,AFC South,NFC East,0,1
0.69,0.311,0.001,HOU,IND,1.0,2010,8,AFC South,AFC South,1,1
1.1,0.7440000000000001,0.078,GB,DAL,3.5,2010,9,NFC North,NFC East,0,0
1.09,0.77,0.16699999999999998,ATL,TB,3.5,2010,9,NFC South,NFC South,1,0
1.08,0.742,0.10099999999999999,NYG,SEA,3.5,2010,9,NFC East,NFC West,0,1
1.08,0.7509999999999999,0.139,MIN,ARI,0.5,2010,9,NFC North,NFC West,0,0
1.05,0.7170000000000001,0.08,NO,CAR,3.5,2010,9,NFC South,NFC South,1,1
1.03,0.674,0.005,BAL,MIA,4.0,2010,9,AFC North,AFC East,0,0
1.03,0.68,0.03,PIT,CIN,4.5,2010,9,AFC North,AFC North,1,1
0.96,0.621,0.001,PHI,IND,3.5,2010,9,NFC East,AFC South,0,0
0.95,0.6559999999999999,0.092,NE,CLE,4.5,2010,9,AFC East,AFC North,0,1
0.89,0.68,0.249,NYJ,DET,2.5,2010,9,AFC East,NFC North,0,1
0.85,0.564,0.027999999999999997,CHI,BUF,1.0,2010,9,NFC North,AFC East,0,1
0.69,0.436,0.004,BUF,CHI,0.0,2010,9,AFC East,NFC North,0,0
0.64,0.32,0.001,DET,NYJ,0.5,2010,9,NFC North,AFC East,0,0
0.59,0.344,0.0,CLE,NE,1.0,2010,9,AFC North,AFC East,0,0
0.58,0.379,0.006999999999999999,IND,PHI,3.5,2010,9,AFC South,NFC East,0,1
0.51,0.32,0.0,CIN,PIT,0.5,2010,9,AFC North,AFC North,1,0
0.5,0.326,0.0,MIA,BAL,1.5,2010,9,AFC East,AFC North,0,1
0.48,0.28300000000000003,0.0,CAR,NO,0.0,2010,9,NFC South,NFC South,1,0
0.46,0.249,0.0,ARI,MIN,0.5,2010,9,NFC West,NFC North,0,1
0.45,0.258,0.0,SEA,NYG,0.5,2010,9,NFC West,NFC East,0,0
0.44,0.23,0.001,TB,ATL,2.0,2010,9,NFC South,NFC South,1,1
0.44,0.256,0.0,DAL,GB,2.0,2010,9,NFC East,NFC North,0,1
1.27,0.667,0.002,PIT,NE,4.0,2010,10,AFC North,AFC East,0,0
1.27,0.7509999999999999,0.08900000000000001,IND,CIN,2.5,2010,10,AFC South,AFC North,0,0
1.24,0.6509999999999999,0.004,ARI,SEA,0.0,2010,10,NFC West,NFC West,1,0
1.22,0.82,0.251,NYG,DAL,2.5,2010,10,NFC East,NFC East,1,0
1.17,0.629,0.015,PHI,WAS,3.0,2010,10,NFC East,NFC East,1,1
1.11,0.6,0.017,NYJ,CLE,2.0,2010,10,AFC East,AFC North,0,1
1.06,0.5529999999999999,0.006999999999999999,BUF,DET,0.0,2010,10,AFC East,NFC North,0,0
1.06,0.249,0.0,CAR,TB,0.0,2010,10,NFC South,NFC South,1,1
1.01,0.528,0.001,ATL,BAL,3.5,2010,10,NFC South,AFC North,0,0
1.01,0.524,0.001,JAX,HOU,1.5,2010,10,AFC South,AFC South,1,0
1.0,0.524,0.003,MIN,CHI,0.5,2010,10,NFC North,NFC North,1,1
0.99,0.524,0.005,TEN,MIA,1.0,2010,10,AFC South,AFC East,0,1
0.96,0.498,0.001,DEN,KC,1.0,2010,10,AFC West,AFC West,1,0
0.95,0.502,0.004,KC,DEN,2.5,2010,10,AFC West,AFC West,1,1
0.92,0.47600000000000003,0.001,MIA,TEN,1.5,2010,10,AFC East,AFC South,0,0
0.91,0.47600000000000003,0.001,CHI,MIN,1.0,2010,10,NFC North,NFC North,1,0
0.9,0.47600000000000003,0.003,HOU,JAX,1.0,2010,10,AFC South,AFC South,1,1
0.9,0.47200000000000003,0.001,BAL,ATL,4.0,2010,10,AFC North,NFC South,0,1
0.85,0.7509999999999999,0.575,TB,CAR,1.0,2010,10,NFC South,NFC South,1,0
0.85,0.447,0.008,DET,BUF,0.5,2010,10,NFC North,AFC East,0,1
0.81,0.4,0.0,CLE,NYJ,1.0,2010,10,AFC North,AFC East,0,0
0.75,0.371,0.0,WAS,PHI,0.0,2010,10,NFC East,NFC East,1,0
0.69,0.18,0.0,DAL,NYG,2.0,2010,10,NFC East,NFC East,1,1
0.68,0.349,0.0,SEA,ARI,0.5,2010,10,NFC West,NFC West,1,1
0.65,0.249,0.0,CIN,IND,0.5,2010,10,AFC North,AFC South,0,1
0.64,0.33299999999999996,0.0,NE,PIT,4.5,2010,10,AFC East,AFC North,0,1
1.22,0.838,0.078,BAL,CAR,3.5,2010,11,AFC North,NFC South,0,1
1.2,0.8220000000000001,0.069,NO,SEA,3.5,2010,11,NFC South,NFC West,0,0
1.13,0.77,0.042,KC,ARI,2.0,2010,11,AFC West,NFC West,0,0
1.09,0.741,0.025,TEN,WAS,0.5,2010,11,AFC South,NFC East,0,0
1.03,0.7170000000000001,0.068,NYJ,HOU,2.0,2010,11,AFC East,AFC South,0,0
0.98,0.674,0.045,CIN,BUF,0.0,2010,11,AFC North,AFC East,0,0
0.97,0.652,0.001,NE,IND,4.5,2010,11,AFC East,AFC South,0,0
0.96,0.645,0.001,SF,TB,1.5,2010,11,NFC West,NFC South,0,0
0.96,0.645,0.008,PHI,NYG,3.0,2010,11,NFC East,NFC East,1,0
0.93,0.631,0.006,GB,MIN,3.5,2010,11,NFC North,NFC North,1,1
0.89,0.701,0.27699999999999997,DAL,DET,2.0,2010,11,NFC East,NFC North,0,0
0.85,0.57,0.003,MIA,CHI,1.5,2010,11,AFC East,NFC North,0,0
0.82,0.5539999999999999,0.012,JAX,CLE,1.5,2010,11,AFC South,AFC North,0,0
0.67,0.446,0.002,CLE,JAX,1.0,2010,11,AFC North,AFC South,0,1
0.64,0.43,0.008,CHI,MIA,1.5,2010,11,NFC North,AFC East,0,1
0.6,0.299,0.001,DET,DAL,0.5,2010,11,NFC North,NFC East,0,1
0.55,0.369,0.0,MIN,GB,1.0,2010,11,NFC North,NFC North,1,0
0.53,0.355,0.001,NYG,PHI,3.0,2010,11,NFC East,NFC East,1,1
0.52,0.355,0.006,TB,SF,1.0,2010,11,NFC South,NFC West,0,1
0.52,0.348,0.001,IND,NE,3.0,2010,11,AFC South,AFC East,0,1
0.51,0.326,0.001,BUF,CIN,0.0,2010,11,AFC East,AFC North,0,1
0.46,0.28300000000000003,0.0,HOU,NYJ,1.5,2010,11,AFC South,AFC East,0,1
0.4,0.259,0.0,WAS,TEN,0.0,2010,11,NFC East,AFC South,0,0
0.36,0.23,0.0,ARI,KC,0.0,2010,11,NFC West,AFC West,0,1
0.29,0.17800000000000002,0.0,SEA,NO,0.5,2010,11,NFC West,NFC South,0,1
0.27,0.162,0.0,CAR,BAL,0.5,2010,11,NFC South,AFC North,0,0
1.16,0.746,0.006,BAL,TB,2.5,2010,12,AFC North,NFC South,0,0
1.13,0.738,0.032,NYG,JAX,2.0,2010,12,NFC East,AFC South,0,0
1.09,0.802,0.23600000000000002,NYJ,CIN,0.5,2010,12,AFC East,AFC North,0,0
1.06,0.6890000000000001,0.012,HOU,TEN,0.5,2010,12,AFC South,AFC South,1,0
1.04,0.7170000000000001,0.099,NE,DET,4.0,2010,12,AFC East,NFC North,0,1
1.03,0.6609999999999999,0.006,NO,DAL,2.5,2010,12,NFC South,NFC East,0,1
1.02,0.693,0.069,PIT,BUF,3.5,2010,12,AFC North,AFC East,0,1
0.95,0.8029999999999999,0.473,CLE,CAR,0.0,2010,12,AFC North,NFC South,0,0
0.92,0.605,0.022000000000000002,PHI,CHI,3.0,2010,12,NFC East,NFC North,0,1
0.85,0.542,0.001,MIN,WAS,0.5,2010,12,NFC North,NFC East,0,1
0.84,0.542,0.002,SF,ARI,1.0,2010,12,NFC West,NFC West,1,1
0.83,0.531,0.002,KC,SEA,2.0,2010,12,AFC West,NFC West,0,1
0.82,0.528,0.002,ATL,GB,3.5,2010,12,NFC South,NFC North,0,0
0.74,0.47200000000000003,0.001,GB,ATL,3.5,2010,12,NFC North,NFC South,0,1
0.73,0.469,0.001,SEA,KC,0.5,2010,12,NFC West,AFC West,0,0
0.71,0.45799999999999996,0.001,ARI,SF,0.0,2010,12,NFC West,NFC West,1,0
0.71,0.45799999999999996,0.006,WAS,MIN,0.0,2010,12,NFC East,NFC North,0,0
0.64,0.395,0.0,CHI,PHI,1.5,2010,12,NFC North,NFC East,0,0
0.6,0.19699999999999998,0.0,CAR,CLE,0.5,2010,12,NFC South,AFC North,0,1
0.54,0.307,0.0,BUF,PIT,0.0,2010,12,AFC East,AFC North,0,0
0.53,0.33899999999999997,0.001,DAL,NO,2.0,2010,12,NFC East,NFC South,0,0
0.52,0.28300000000000003,0.0,DET,NE,0.5,2010,12,NFC North,AFC East,0,0
0.49,0.311,0.0,TEN,HOU,0.5,2010,12,AFC South,AFC South,1,1
0.47,0.198,0.0,CIN,NYJ,0.0,2010,12,AFC North,AFC East,0,1
0.43,0.262,0.0,JAX,NYG,1.5,2010,12,AFC South,NFC East,0,1
0.4,0.254,0.0,TB,BAL,1.0,2010,12,NFC South,AFC North,0,1
1.15,0.8029999999999999,0.07400000000000001,GB,SF,3.0,2010,13,NFC North,NFC West,0,0
1.11,0.762,0.021,KC,DEN,1.5,2010,13,AFC West,AFC West,1,0
1.1,0.752,0.016,NYG,WAS,1.5,2010,13,NFC East,NFC East,1,0
1.07,0.741,0.03,NO,CIN,2.5,2010,13,NFC South,AFC North,0,1
1.02,0.701,0.016,IND,DAL,3.0,2010,13,AFC South,NFC East,0,0
0.99,0.677,0.006,MIA,CLE,1.5,2010,13,AFC East,AFC North,0,0
0.99,0.768,0.275,PHI,HOU,2.5,2010,13,NFC East,AFC South,0,0
0.98,0.674,0.023,MIN,BUF,0.0,2010,13,NFC North,AFC East,0,0
0.96,0.6559999999999999,0.002,NE,NYJ,4.5,2010,13,AFC East,AFC East,1,0
0.92,0.627,0.0,BAL,PIT,2.5,2010,13,AFC North,AFC North,1,0
0.91,0.621,0.0,TEN,JAX,0.0,2010,13,AFC South,AFC South,1,0
0.9,0.6609999999999999,0.12,CHI,DET,1.0,2010,13,NFC North,NFC North,1,1
0.87,0.595,0.004,ATL,TB,4.0,2010,13,NFC South,NFC South,1,1
0.86,0.6609999999999999,0.19,SEA,CAR,0.0,2010,13,NFC West,NFC South,0,0
0.61,0.33899999999999997,0.0,CAR,SEA,0.5,2010,13,NFC South,NFC West,0,1
0.6,0.405,0.0,TB,ATL,1.5,2010,13,NFC South,NFC South,1,0
0.57,0.33899999999999997,0.0,DET,CHI,0.5,2010,13,NFC North,NFC North,1,0
0.55,0.379,0.003,JAX,TEN,1.5,2010,13,AFC South,AFC South,1,1
0.55,0.373,0.001,PIT,BAL,4.5,2010,13,AFC North,AFC North,1,1
0.51,0.344,0.001,NYJ,NE,1.0,2010,13,AFC East,AFC East,1,1
0.49,0.326,0.0,BUF,MIN,0.0,2010,13,AFC East,NFC North,0,1
0.48,0.23199999999999998,0.0,HOU,PHI,1.0,2010,13,AFC South,NFC East,0,1
0.48,0.32299999999999995,0.001,CLE,MIA,0.0,2010,13,AFC North,AFC East,0,1
